id,area_name,subarea_name,group1,group1_note,group2,group2_note,group3,group3_note,group4,group4_note,group5,group5_note,total_posting
1,足柄上郡山北町,足柄上郡山北町皆瀬川,,,,,,,,,,,0
2,足柄上郡山北町,足柄上郡山北町岸,,,,,,,,,,,0
3,足柄上郡山北町,足柄上郡山北町向原,,,,,,,,,,,0
4,足柄上郡山北町,足柄上郡山北町山北,,,,,,,,,,,0
5,足柄上郡山北町,足柄上郡山北町平山,,,,,,,,,,,0
6,足柄上郡山北町,足柄上郡山北町玄倉,,,,,,,,,,,0
7,足柄上郡松田町,足柄上郡松田町寄,,,,,,,,,,,0
8,足柄上郡松田町,足柄上郡松田町松田庶子,,,,,,,,,,,0
9,足柄上郡松田町,足柄上郡松田町松田惣領,,,,,,,,,,,0
10,足柄上郡松田町,足柄上郡松田町神山,,,,,,,,,,,0
11,横浜市戸塚区,横浜市戸塚区影取町,,,,,,,,,,,0
12,横浜市戸塚区,横浜市戸塚区下倉田町,,,,,,,,,,,0
13,横浜市戸塚区,横浜市戸塚区吉田町,,,,,,,,,,,0
14,横浜市戸塚区,横浜市戸塚区汲沢,,,,,,,,,,,0
15,横浜市戸塚区,横浜市戸塚区汲沢町,,,,,,,,,,,0
16,横浜市戸塚区,横浜市戸塚区原宿,,,,,,,,,,,0
17,横浜市戸塚区,横浜市戸塚区戸塚町,,,,,,,,,,,0
18,横浜市戸塚区,横浜市戸塚区秋葉町,,,,,,,,,,,0
19,横浜市戸塚区,横浜市戸塚区小雀町,,,,,,,,,,,0
20,横浜市戸塚区,横浜市戸塚区上倉田町,,,,,,,,,,,0
21,横浜市戸塚区,横浜市戸塚区上柏尾町,,,,,,,,,,,0
22,横浜市戸塚区,横浜市戸塚区上品濃,,,,,,,,,,,0
23,横浜市戸塚区,横浜市戸塚区上矢部町,,,,,,,,,,,0
24,横浜市戸塚区,横浜市戸塚区深谷町,,,,,,,,,,,0
25,横浜市戸塚区,横浜市戸塚区川上町,,,,,,,,,,,0
26,横浜市戸塚区,横浜市戸塚区前田町,,,,,,,,,,,0
27,横浜市戸塚区,横浜市戸塚区鳥が丘,,,,,,,,,,,0
28,横浜市戸塚区,横浜市戸塚区東俣野町,,,,,,,,,,,0
29,横浜市戸塚区,横浜市戸塚区南舞岡,,,,,,,,,,,0
30,横浜市戸塚区,横浜市戸塚区柏尾町,,,,,,,,,,,0
31,横浜市戸塚区,横浜市戸塚区品濃町,,,,,,,,,,,0
32,横浜市戸塚区,横浜市戸塚区舞岡町,,,,,,,,,,,0
33,横浜市戸塚区,横浜市戸塚区平戸,,,,,,,,,,,0
34,横浜市戸塚区,横浜市戸塚区平戸町,,,,,,,,,,,0
35,横浜市戸塚区,横浜市戸塚区俣野町,,,,,,,,,,,0
36,横浜市戸塚区,横浜市戸塚区名瀬町,,,,,,,,,,,0
37,横浜市戸塚区,横浜市戸塚区矢部町,,,,,,,,,,,0
38,横浜市戸塚区,横浜市戸塚区汲沢1丁目,,,,,,,,,,,0
39,横浜市戸塚区,横浜市戸塚区汲沢2丁目,,,,,,,,,,,0
40,横浜市戸塚区,横浜市戸塚区汲沢3丁目,,,,,,,,,,,0
41,横浜市戸塚区,横浜市戸塚区汲沢4丁目,,,,,,,,,,,0
42,横浜市戸塚区,横浜市戸塚区汲沢5丁目,,,,,,,,,,,0
43,横浜市戸塚区,横浜市戸塚区汲沢6丁目,,,,,,,,,,,0
44,横浜市戸塚区,横浜市戸塚区汲沢7丁目,,,,,,,,,,,0
45,横浜市戸塚区,横浜市戸塚区汲沢8丁目,,,,,,,,,,,0
46,横浜市戸塚区,横浜市戸塚区原宿1丁目,,,,,,,,,,,0
47,横浜市戸塚区,横浜市戸塚区原宿2丁目,,,,,,,,,,,0
48,横浜市戸塚区,横浜市戸塚区原宿3丁目,,,,,,,,,,,0
49,横浜市戸塚区,横浜市戸塚区原宿4丁目,,,,,,,,,,,0
50,横浜市戸塚区,横浜市戸塚区原宿5丁目,,,,,,,,,,,0
51,横浜市戸塚区,横浜市戸塚区南舞岡1丁目,,,,,,,,,,,0
52,横浜市戸塚区,横浜市戸塚区南舞岡2丁目,,,,,,,,,,,0
53,横浜市戸塚区,横浜市戸塚区南舞岡3丁目,,,,,,,,,,,0
54,横浜市戸塚区,横浜市戸塚区南舞岡4丁目,,,,,,,,,,,0
55,横浜市戸塚区,横浜市戸塚区柏尾町広町,,,,,,,,,,,0
56,横浜市戸塚区,横浜市戸塚区平戸1丁目,,,,,,,,,,,0
57,横浜市戸塚区,横浜市戸塚区平戸2丁目,,,,,,,,,,,0
58,横浜市戸塚区,横浜市戸塚区平戸3丁目,,,,,,,,,,,0
